provinsi,year,wilayah,tpt,pe,defis,ginim,idi,popd,pvty (Head Count Index ),ginis,sch,hdi,nac,shuc,internet,pop,exp,psectorsize,gdpc,femaleprof,glroadprov,tlroadprov,pgi
ACEH,2010,KBI,8.37,0,0.008454715,0.261,65.36,78,20.98,0.301,8.28,67.09,3381,33988,17.5,4494,8454714.845,0.192743415,22450.14,51.14,0.506462985,1702,4.11
ACEH,2011,KBI,9,1.13,0.006885755,0.353,55.54,80,19.57,0.326,8.32,67.45,3659,73299,19.95,4619,6885754.87,0.189876843,22704.8,53.76,0.506462985,1702,3.5
ACEH,2012,KBI,9.06,1.74,0.007167031,0.337,54.02,81,18.58,0.341,8.36,67.81,3583,41242,22.46,4715,7167031.349,0.19773235,23099.13,52.12,0.506462985,1702,3.07
ACEH,2013,KBI,10.12,0.56,0.007139795,0.404,63.56,83,17.72,0.331,8.44,68.3,3913,116859,22.34,4811,7139795.466,0.203022675,23228.59,53.14,0.52173913,1702,3.2
ACEH,2014,KBI,9.02,-0.43,0.007318127,0.358,72.29,85,16.98,0.337,8.71,68.81,3764,646238,25.18,4907,7318126.757,0.203517234,23129.04,53.28,0.52173913,1702,3.14
ACEH,2015,KBI,9.93,-2.61,0.006980902,0.367,67.78,86,17.11,0.339,8.77,69.45,4490,225644,31.07,5002,6980902.237,0.212666359,22524.31,52.43,0.521885522,1782,3.11
SUMATERA UTARA,2010,KBI,7.43,0,0.004061126,0.279,63.45,179,11.31,0.346,8.51,67.09,6222,266587,22.06,12982,4061126.332,0.07764653,25412.07,47.25,0.506177326,2752,2.04
SUMATERA UTARA,2011,KBI,8.18,5.11,0.004141599,0.361,66.15,181,11.33,0.305,8.61,67.34,6391,302035,25.28,13221,4141598.728,0.076170175,26711.24,56.32,0.506177326,2752,1.84
SUMATERA UTARA,2012,KBI,6.28,4.96,0.005312224,0.334,58.51,184,10.41,0.331,8.72,67.74,6395,302035,28.44,13408,5312224.261,0.075328773,28036.88,51.62,0.506540698,2752,1.82
SUMATERA UTARA,2013,KBI,6.45,4.65,0.005372057,0.386,58.8,186,10.39,0.328,8.79,68.36,6678,373121,28.19,13590,5372056.985,0.073869,29339.21,50.67,0.521438953,2752,1.72
SUMATERA UTARA,2014,KBI,6.23,3.88,0.004402167,0.346,68.02,189,9.85,0.31,8.93,68.87,6708,500513,31.75,13767,4402166.733,0.072236674,30477.07,52.46,0.521482453,3049,1.71
SUMATERA UTARA,2015,KBI,6.71,3.81,0.004702787,0.36,69.01,191,10.79,0.326,9.03,69.51,6285,588746,35.23,13938,4702787.444,0.070415667,31637.41,53.47,0.521482453,3049,1.89
SUMATERA BARAT,2010,KBI,6.95,0,0.002489987,0.306,63.04,116,9.5,0.325,8.13,67.25,2319,125023,30,4847,2489987.406,0.136149489,21584.91,57.83,0.506932409,1154,1.49
SUMATERA BARAT,2011,KBI,8.02,4.88,0.001858212,0.353,65.02,117,9.04,0.332,8.2,67.81,2366,129545,29.07,4933,1858211.645,0.13008416,22638.75,56.13,0.506932409,1154,1.36
SUMATERA BARAT,2012,KBI,6.65,4.88,0.00220183,0.38,60.82,119,8,0.355,8.27,68.36,2494,159499,33.13,5000,2201830.471,0.126111826,23744.01,54.19,0.506932409,1154,1.24
SUMATERA BARAT,2013,KBI,7.02,4.69,0.002079116,0.397,54.11,121,7.56,0.351,8.28,68.91,2641,285573,33.75,5067,2079116.443,0.124628452,24857.64,55.32,0.520797227,1154,1.27
SUMATERA BARAT,2014,KBI,6.5,4.53,0.002181045,0.338,63.99,122,6.89,0.332,8.29,69.36,2621,190215,36.94,5132,2181044.629,0.120727337,25982.83,57.05,0.520714866,1231,0.75
